Date,open,high,low,Close,adj_close,volume_shares
2021-04-14,55.666664,57.0,55.666664,56.983334,55.133175,88647435
2021-04-15,56.166664,56.216667,54.5,55.163334,53.372265,74249967
2021-04-16,55.133331,55.466667,53.443333,55.099998,53.310986,70379832
2021-04-19,55.0,59.0,54.726665,58.683334,56.777981,152205150
2021-04-20,58.333332,58.333332,56.593334,57.080002,55.226707,112703109
2021-04-21,56.333332,56.863335,55.723331,56.196667,54.372051,69146664
2021-04-22,56.666664,57.259998,55.740002,56.236668,54.410755,59252532
2021-04-23,55.726665,57.126667,55.423332,56.416664,54.584904,68648397
2021-04-26,56.666664,57.666664,55.75,55.833332,54.020508,95854230
2021-04-27,55.333332,55.799999,54.466667,54.98,53.194885,76691763
2021-04-28,54.953335,56.18,54.32,55.166664,53.375488,65523594
2021-04-29,54.333332,54.976665,54.066666,54.316666,52.553093,82756212
2021-04-30,53.830002,54.066666,52.236668,52.856667,51.140491,107969742
2021-05-06,52.333332,52.333332,50.0,50.0,48.376583,126947424
2021-05-07,49.373333,49.986668,47.796665,47.983334,46.425392,113394114
2021-05-10,47.983334,49.450001,47.146667,49.0,47.40905,78221625
2021-05-11,47.900002,49.586666,46.990002,48.853333,47.267139,80891988
2021-05-12,49.419998,51.666664,49.419998,51.243332,49.57954,115397742
2021-05-13,50.25,50.333332,49.52,49.663334,48.050846,63808827
2021-05-14,49.299999,51.366665,48.77,51.176666,49.515038,90083598
2021-05-17,51.810001,53.626667,51.483334,53.259998,51.530727,108900768
2021-05-18,53.333332,53.933334,52.293331,52.900002,51.182423,58485636
2021-05-19,53.299999,58.0,53.293331,57.593334,55.72337,178947261
2021-05-20,56.666664,59.186665,56.366665,57.646667,55.774971,149966544
2021-05-21,58.003334,59.330002,56.700001,57.733334,55.858829,100489653
2021-05-24,57.303333,58.5,56.66,57.823334,55.945904,81516861
2021-05-25,58.333332,59.333332,57.566666,58.84,56.929562,99456861
2021-05-26,59.333332,61.526665,58.666664,58.723331,56.816673,103673397
2021-05-27,59.666664,59.893333,58.166664,59.150002,57.229496,70207830
2021-05-28,59.150002,61.666664,58.689999,60.560001,58.593712,111358461
2021-05-31,58.419998,59.703335,56.726665,59.566666,57.632629,131265948
2021-06-01,59.576668,63.633331,59.576668,63.153332,61.10284,154081236
2021-06-02,63.333332,63.950001,61.733334,62.166664,60.148209,88304892
2021-06-03,62.200001,62.5,60.060001,61.299999,59.309685,75240171
2021-06-04,60.536667,64.0,60.173332,63.133331,61.083496,95954517
2021-06-07,63.666664,64.290001,62.333332,63.450001,61.389877,76355406
2021-06-08,64.666664,68.533333,64.416664,67.603333,65.408371,167771568
2021-06-09,67.633331,67.833336,65.673332,67.333336,65.147133,94966746
2021-06-10,67.349998,72.016663,67.0,71.370003,69.052719,132300096
2021-06-11,71.433334,76.650002,70.693336,75.673332,73.216339,162025533
2021-06-15,77.18,79.266663,74.956665,77.440002,74.925644,155430225
2021-06-16,75.333336,77.220001,70.220001,70.333336,68.049713,185452770
2021-06-17,70.32,77.366669,70.276665,77.366669,74.854706,155993274
2021-06-18,78.666664,84.106667,78.216667,81.666664,79.015076,171568803
2021-06-21,81.293335,83.186668,77.376663,80.860001,78.234612,129157905
2021-06-22,81.0,82.333336,78.666664,79.293335,76.718803,94928424
2021-06-23,77.666664,83.266663,77.5,81.099998,78.466805,118350180
2021-06-24,81.333336,83.956665,80.059998,81.629997,78.979599,93685512
2021-06-25,82.333336,82.886665,79.333336,81.66333,79.011848,88950708
2021-06-28,81.66333,85.0,81.173332,84.543335,81.79834,104181594
2021-06-29,85.800003,86.533333,83.333336,84.433334,81.691917,91877262
2021-06-30,83.333336,85.5,82.0,83.666664,80.95015,85622193
2021-07-01,83.666664,84.166664,78.533333,78.866669,76.306,126780861
2021-07-02,77.666664,81.166664,76.296669,79.68,77.092918,112278039
2021-07-05,78.68,83.333336,78.523331,83.183334,80.482506,97470348
2021-07-06,85.0,87.006668,80.333336,83.5,80.788895,155375010
2021-07-07,81.333336,86.199997,80.293335,85.029999,82.269211,115915968
2021-07-08,84.333336,87.18,83.706665,83.986664,81.259743,118172985
2021-07-09,83.626663,84.996666,80.626663,82.940002,80.24707,109484097
2021-07-12,84.433334,90.970001,83.833336,88.826668,85.942612,168017124
2021-07-13,88.830002,89.910004,86.739998,88.366669,85.497536,83194173
2021-07-14,87.0,87.0,81.666664,81.763336,79.108612,183815058
2021-07-15,79.666664,81.183334,76.666664,78.800003,76.241493,165569601
2021-07-16,78.583336,78.583336,73.676666,74.306664,71.894051,168822444
2021-07-19,73.333336,77.330002,71.433334,74.65667,72.232689,111656169
2021-07-20,73.333336,76.486664,73.036667,75.833336,73.371147,74024898
2021-07-21,77.066666,81.66333,76.669998,80.410004,77.799225,141453357
2021-07-22,82.099998,83.146667,80.056664,82.986664,80.292221,112431981
2021-07-23,82.480003,87.333336,81.693336,86.226669,83.427025,138168681
2021-07-26,83.526665,86.580002,80.336662,82.849998,80.159996,121328472
2021-07-27,82.0,85.959999,79.066666,79.57,76.986496,113312160
2021-07-28,76.66333,80.366669,74.66333,78.833336,76.27375,99659589
2021-07-29,82.313332,85.766663,80.940002,85.73333,82.949715,128655315
2021-07-30,85.730003,89.433334,84.043335,88.236664,85.371765,137398197
2021-08-02,92.0,97.059998,91.099998,97.059998,93.908623,186677709
2021-08-03,99.666664,99.666664,91.669998,93.360001,90.328751,146804559
2021-08-04,94.336662,102.696663,94.0,102.696663,99.362274,160291917
2021-08-05,100.333336,102.083336,98.290001,99.82,96.579002,110646873
2021-08-06,104.333336,105.766663,99.5,101.160004,97.923904,136087881
2021-08-09,98.333336,99.133331,94.333336,97.849998,94.71978,102486237
2021-08-10,97.853333,100.769997,94.0,97.333336,94.219643,99310548
2021-08-11,96.333336,99.610001,95.386665,98.330002,95.184425,79198185
2021-08-12,97.666664,104.459999,96.456665,102.993332,99.698578,114833694
2021-08-13,101.0,104.166664,99.330002,100.006668,96.807457,74071938
2021-08-16,99.0,99.0,95.0,95.133331,92.090019,91520103
2021-08-17,94.48333,96.833336,92.666664,93.436668,90.447639,81617520
2021-08-18,95.136665,96.029999,92.730003,94.553329,91.528564,66516906
2021-08-19,94.553329,99.559998,92.856667,97.90667,94.774635,108501537
2021-08-20,96.333336,97.866669,94.0,95.029999,91.98999,74151960
2021-08-23,93.833336,98.146667,91.849998,96.599998,93.509773,88748061
2021-08-24,97.596664,100.666664,96.683334,99.416664,96.23632,82319718
2021-08-25,99.266663,99.933334,97.0,98.73333,95.574852,53743614
2021-08-26,99.0,99.589996,94.166664,94.166664,91.154274,79104477
2021-08-27,93.66333,98.676666,93.333336,96.050003,92.977364,78866790
2021-08-30,92.480003,96.0,91.32,93.989998,90.983261,125727702
2021-08-31,95.626663,95.626663,88.849998,92.333336,89.379593,98900502
2021-09-01,92.333336,92.65667,85.866669,88.766663,85.927017,86302266
2021-09-02,89.003334,90.66333,87.566666,89.0,86.152901,49573329
2021-09-03,89.003334,90.333336,83.466667,84.703331,81.993675,86389239
2021-09-06,86.66333,93.0,86.333336,92.533333,89.573189,119336643
2021-09-07,92.533333,93.703331,91.089996,91.98333,89.040787,62290059
2021-09-08,92.633331,93.09333,89.536667,89.863335,86.988602,54773418
2021-09-09,90.666664,93.193336,88.599998,90.57,87.672668,64876923
2021-09-10,90.57,90.84333,87.546669,88.536667,85.704384,71627208
2021-09-13,89.443336,90.660004,86.393333,87.120003,84.333038,64047537
2021-09-14,87.129997,92.0,85.686668,89.743332,86.872452,106407000
2021-09-15,89.296669,90.0,86.666664,87.050003,84.265282,65642733
2021-09-16,87.050003,88.256668,83.510002,83.666664,80.990173,66242913
2021-09-17,84.333336,85.666664,83.496666,85.040001,82.319572,41826321
2021-09-22,82.666664,83.813332,81.34333,82.400002,79.764023,49023858
2021-09-23,84.610001,85.839996,82.959999,83.306664,80.641678,44935254
2021-09-24,83.653336,85.833336,82.333336,83.923332,81.238625,47480100
2021-09-27,84.666664,85.830002,82.266663,84.166664,81.474174,53997282
2021-09-28,83.966667,84.606667,82.096664,82.286667,79.65432,48733314
2021-09-29,81.0,81.626663,78.333336,78.666664,76.150116,73666443
2021-09-30,79.400002,83.23333,79.066666,83.169998,80.509384,67511403
2021-10-08,85.993332,86.660004,83.333336,84.333336,81.635521,58231185
2021-10-11,84.366669,87.699997,82.666664,85.25,82.522858,63591819
2021-10-12,85.0,87.633331,84.336662,85.669998,82.92942,63495402
2021-10-13,85.669998,91.199997,84.776665,90.400002,87.50811,96593430
2021-10-14,90.333336,91.996666,89.379997,90.980003,88.069557,53339796
2021-10-15,91.666664,95.833336,90.333336,94.443336,91.422089,86353515
